t l_Lp l_Lp_1 l_Lp_2 l_Lda l_Lda_1 l_Lda_2 l_awake l_asleep l_Lda_adv
2940.0 134.0 134.0 134.0 134.0 134.0 134.0 75.0 0.0 134.0
2955.0 134.0 134.0 134.0 135.0 135.0 135.0 75.0 0.0 135.0
2970.0 135.0 135.0 135.0 136.0 136.0 136.0 75.0 0.0 136.0
2985.0 135.0 135.0 135.0 137.0 137.0 137.0 75.0 0.0 137.0
3000.0 136.0 136.0 136.0 139.0 139.0 139.0 75.0 0.0 139.0
3015.0 137.0 137.0 137.0 140.0 140.0 140.0 75.0 0.0 142.0
3030.0 139.0 139.0 139.0 140.0 140.0 140.0 75.0 0.0 142.0
3045.0 139.0 139.0 139.0 143.0 143.0 143.0 75.0 0.0 143.0
3060.0 139.0 139.0 139.0 143.0 143.0 143.0 75.0 0.0 144.0
3075.0 139.0 139.0 139.0 143.0 143.0 143.0 75.0 0.0 144.0
3090.0 143.0 143.0 143.0 143.0 143.0 143.0 75.0 0.0 144.0
3105.0 143.0 143.0 143.0 144.0 144.0 144.0 75.0 0.0 144.0
3120.0 143.0 143.0 143.0 146.0 146.0 146.0 75.0 0.0 147.0
3135.0 145.0 145.0 145.0 149.0 149.0 149.0 75.0 0.0 149.0
3150.0 145.0 145.0 145.0 149.0 149.0 149.0 75.0 0.0 149.0
3165.0 145.0 145.0 145.0 150.0 150.0 150.0 75.0 0.0 151.0
3180.0 149.0 149.0 149.0 153.0 153.0 153.0 75.0 0.0 153.0
3195.0 151.0 151.0 151.0 154.0 154.0 154.0 75.0 0.0 155.0
3210.0 154.0 154.0 154.0 154.0 154.0 154.0 75.0 0.0 156.0
3225.0 154.0 154.0 154.0 154.0 154.0 154.0 75.0 0.0 156.0
3240.0 154.0 154.0 154.0 154.0 154.0 154.0 75.0 0.0 157.0
3255.0 154.0 154.0 154.0 158.0 158.0 158.0 75.0 0.0 158.0
3270.0 157.0 157.0 157.0 158.0 158.0 158.0 75.0 0.0 158.0
3285.0 157.0 157.0 157.0 162.0 162.0 162.0 75.0 0.0 162.0
3300.0 157.0 157.0 157.0 162.0 162.0 162.0 75.0 0.0 162.0
3315.0 157.0 157.0 157.0 163.0 163.0 163.0 75.0 0.0 163.0
3330.0 162.0 162.0 162.0 163.0 163.0 163.0 75.0 0.0 163.0
3345.0 162.0 162.0 162.0 164.0 164.0 164.0 75.0 0.0 165.0
3360.0 163.0 163.0 163.0 165.0 165.0 165.0 75.0 0.0 165.0
3375.0 165.0 165.0 165.0 167.0 167.0 167.0 75.0 0.0 167.0
3390.0 166.0 166.0 166.0 169.0 169.0 169.0 75.0 0.0 170.0
3405.0 166.0 166.0 166.0 170.0 170.0 170.0 75.0 0.0 170.0
3420.0 166.0 166.0 166.0 171.0 171.0 171.0 75.0 0.0 171.0
3435.0 166.0 166.0 166.0 171.0 171.0 171.0 75.0 0.0 171.0
3450.0 166.0 166.0 166.0 172.0 172.0 172.0 75.0 0.0 173.0
3465.0 166.0 166.0 166.0 173.0 173.0 173.0 75.0 0.0 173.0
3480.0 172.0 172.0 172.0 173.0 173.0 173.0 75.0 0.0 174.0
3495.0 172.0 172.0 172.0 174.0 174.0 174.0 75.0 0.0 175.0
3510.0 172.0 172.0 172.0 176.0 176.0 176.0 75.0 0.0 176.0
3525.0 172.0 172.0 172.0 177.0 177.0 177.0 75.0 0.0 177.0
3540.0 176.0 176.0 176.0 177.0 177.0 177.0 75.0 0.0 177.0
3555.0 176.0 176.0 176.0 178.0 178.0 178.0 75.0 0.0 178.0
3570.0 176.0 176.0 176.0 179.0 179.0 179.0 75.0 0.0 179.0
3585.0 178.0 178.0 178.0 179.0 179.0 179.0 75.0 0.0 180.0
3600.0 179.0 179.0 179.0 179.0 179.0 179.0 75.0 0.0 180.0
Lp:
["da-genesis", "adversarial:t=14,id=94", "t=23,id=26", "t=24,id=62", "t=28,id=50", "t=43,id=28", "t=50,id=59", "t=61,id=67", "t=80,id=52", "t=84,id=25", "adversarial:t=92,id=89", "t=108,id=26", "t=135,id=37", "t=137,id=59", "adversarial:t=140,id=96", "adversarial:t=150,id=97", "adversarial:t=157,id=82", "t=236,id=29", "adversarial:t=237,id=86", "adversarial:t=263,id=79", "t=272,id=62", "adversarial:t=273,id=84", "adversarial:t=303,id=78", "adversarial:t=311,id=83", "t=328,id=11", "t=332,id=43", "t=333,id=48", "t=334,id=57", "adversarial:t=337,id=93", "adversarial:t=341,id=81", "adversarial:t=371,id=95", "adversarial:t=378,id=97", "adversarial:t=385,id=83", "adversarial:t=393,id=96", "adversarial:t=408,id=77", "adversarial:t=459,id=95", "adversarial:t=548,id=80", "t=559,id=39", "adversarial:t=579,id=84", "t=589,id=26", "t=596,id=67", "t=600,id=22", "adversarial:t=603,id=96", "adversarial:t=618,id=88", "adversarial:t=661,id=87", "adversarial:t=723,id=90", "adversarial:t=730,id=89", "adversarial:t=742,id=80", "adversarial:t=783,id=78", "t=836,id=4", "t=857,id=12", "adversarial:t=867,id=93", "adversarial:t=890,id=88", "adversarial:t=921,id=93", "adversarial:t=975,id=83", "t=1034,id=15", "t=1106,id=14", "adversarial:t=1135,id=91", "adversarial:t=1153,id=76", "adversarial:t=1179,id=84", "adversarial:t=1192,id=90", "adversarial:t=1273,id=99", "adversarial:t=1308,id=76", "adversarial:t=1312,id=79", "adversarial:t=1320,id=94", "adversarial:t=1321,id=83", "adversarial:t=1352,id=81", "adversarial:t=1419,id=100", "adversarial:t=1515,id=88", "adversarial:t=1553,id=94", "adversarial:t=1596,id=99", "adversarial:t=1632,id=90", "adversarial:t=1640,id=94", "adversarial:t=1667,id=91", "adversarial:t=1693,id=91", "adversarial:t=1706,id=76", "adversarial:t=1710,id=79", "adversarial:t=1731,id=100", "adversarial:t=1734,id=87", "adversarial:t=1741,id=100", "adversarial:t=1745,id=100", "adversarial:t=1769,id=85", "adversarial:t=1818,id=99", "adversarial:t=1845,id=88", "adversarial:t=1897,id=79", "adversarial:t=1909,id=79", "adversarial:t=1918,id=92", "adversarial:t=1957,id=95", "adversarial:t=1964,id=79", "adversarial:t=2013,id=91", "adversarial:t=2028,id=87", "adversarial:t=2035,id=80", "t=2073,id=25", "t=2082,id=62", "adversarial:t=2084,id=86", "t=2097,id=54", "t=2113,id=9", "t=2123,id=32", "t=2130,id=61", "t=2144,id=66", "t=2183,id=59", "t=2189,id=50", "t=2200,id=69", "t=2215,id=17", "t=2217,id=10", "t=2224,id=63", "t=2226,id=57", "adversarial:t=2229,id=90", "adversarial:t=2245,id=78", "adversarial:t=2263,id=76", "adversarial:t=2321,id=96", "adversarial:t=2346,id=78", "adversarial:t=2363,id=77", "adversarial:t=2398,id=99", "adversarial:t=2400,id=79", "t=2418,id=20", "t=2419,id=48", "adversarial:t=2423,id=96", "t=2439,id=7", "adversarial:t=2443,id=94", "t=2465,id=25", "t=2489,id=51", "t=2501,id=46", "t=2514,id=11", "t=2520,id=18", "t=2533,id=19", "t=2534,id=3", "adversarial:t=2544,id=80", "adversarial:t=2562,id=97", "t=2585,id=23", "t=2595,id=2", "t=2602,id=32", "t=2615,id=28", "t=2632,id=50", "t=2659,id=36", "t=2672,id=64", "t=2677,id=66", "t=2685,id=23", "t=2699,id=61", "t=2717,id=11", "adversarial:t=2727,id=87", "t=2780,id=17", "adversarial:t=2781,id=80", "adversarial:t=2793,id=86", "t=2800,id=12", "t=2812,id=13", "t=2818,id=27", "t=2835,id=53", "t=2839,id=65", "adversarial:t=2848,id=100", "t=2865,id=62", "t=2872,id=59", "adversarial:t=2873,id=78", "t=2884,id=75", "t=2899,id=66", "t=2944,id=13", "t=2969,id=59", "adversarial:t=2974,id=97", "t=2991,id=28", "t=2996,id=41", "t=3007,id=61", "adversarial:t=3009,id=79", "adversarial:t=3013,id=90", "adversarial:t=3040,id=84", "adversarial:t=3046,id=81", "t=3109,id=75", "t=3115,id=62", "t=3120,id=18", "t=3127,id=4", "t=3128,id=44", "t=3161,id=70", "t=3165,id=42", "t=3172,id=46", "t=3176,id=17", "t=3182,id=21", "adversarial:t=3187,id=86", "adversarial:t=3207,id=81", "adversarial:t=3229,id=98", "adversarial:t=3246,id=90", "t=3276,id=70"]
